,openInterest_CE,changeinOpenInterest_CE,totalTradedVolume_CE,impliedVolatility_CE,lastPrice_CE,strikePrice,openInterest_PE,changeinOpenInterest_PE,totalTradedVolume_PE,impliedVolatility_PE,lastPrice_PE
0,0,0,0,0.0,0.0,22700,100050,53343,744298,41.36,0.05
1,0,0,0,0.0,0.0,22750,23135,13464,96095,40.19,0.1
2,0,0,0,0.0,0.0,22800,32478,22015,209289,39.03,0.05
3,0,0,0,0.0,0.0,22850,13435,5125,54608,37.87,0.1
4,0,0,0,0.0,0.0,22900,19003,9425,123249,38.68,0.1
5,0,0,0,0.0,0.0,22950,10124,9075,35468,37.46,0.1
6,1831,-1,17,0.0,1400.8,23000,183001,25414,354878,36.25,0.1
7,42,0,0,0.0,0.0,23050,100675,-6647,164185,36.22,0.1
8,3,0,0,0.0,0.0,23100,93684,-9328,244828,34.97,0.15
9,1,0,1,0.0,1225.9,23150,39805,6108,185446,33.71,0.1
10,18,5,35,0.0,1205.05,23200,83780,2473,231448,32.46,0.15
11,8,0,0,0.0,0.0,23250,21155,13112,92980,32.01,0.15
12,3,0,0,0.0,0.0,23300,42119,4969,186063,29.95,0.15
13,2,0,0,0.0,0.0,23350,24529,2917,139284,29.44,0.2
14,55,-6,34,0.0,1010.35,23400,60333,9928,205492,28.74,0.25
15,9,3,12,42.93,974.0,23450,37814,10050,184227,27.43,0.25
16,169,-185,510,0.0,904.0,23500,220823,26341,973138,26.58,0.25
17,5,0,2,0.0,855.2,23550,63960,38929,236170,25.25,0.3
18,95,-12,95,0.0,805.0,23600,179582,56309,554190,24.29,0.3
19,4,0,0,0.0,0.0,23650,93137,40745,446213,23.25,0.35
20,920,-42,300,0.0,700.0,23700,206854,73778,1111475,21.87,0.35
21,24,16,66,0.0,647.15,23750,135119,94738,999173,20.75,0.4
22,168,-44,1049,0.0,601.85,23800,352971,218569,2602481,19.34,0.4
23,197,101,1039,0.0,558.1,23850,163206,123022,1352259,17.92,0.4
24,596,164,2123,0.0,503.0,23900,387914,238507,3026275,16.7,0.45
25,4054,3832,5804,0.0,458.65,23950,242968,186269,2769710,15.25,0.45
26,5347,-454,58382,0.0,403.35,24000,524016,238022,6047339,13.96,0.5
27,509,-42,6752,0.0,353.85,24050,165894,104725,2944056,12.61,0.65
28,3729,1900,46163,0.0,303.0,24100,282790,182192,5377397,11.43,0.65
29,3109,2068,48230,0.0,253.0,24150,238978,181305,4862972,9.95,0.85
30,23612,14325,401579,0.0,202.65,24200,435179,205143,8329915,8.82,1.25
31,22334,19000,472729,0.0,153.55,24250,294037,215800,7094941,7.48,1.75
32,103006,85300,2981096,0.0,104.8,24300,643801,503459,12048791,6.11,2.95
33,282968,270969,6737524,0.0,57.85,24350,751294,684956,16668764,4.57,4.55
34,1293718,1227548,24044728,0.83,15.05,24400,1416464,1195772,26611337,3.44,11.3
35,1288108,1202664,20085336,3.55,5.1,24450,337642,246576,10155535,5.85,51.65
36,1124782,912611,15905025,5.35,3.15,24500,192985,79189,4861265,8.5,101.6
37,492708,360991,9589471,6.75,1.9,24550,43485,9906,902707,10.8,148.75
38,563562,272776,9368306,8.08,1.3,24600,42751,-5309,788408,12.91,199.2
39,288205,138102,6504302,9.31,1.0,24650,17015,-1499,105348,14.86,248.2
40,389328,91072,6891500,10.46,0.8,24700,39403,-9669,127136,17.51,299.55
41,262199,102143,4625949,11.91,0.7,24750,29206,-2350,20981,18.43,347.95
